ID|Kod|Miejscowość|Ulica|Nr domu|Nr mieszkania|Województwo|Powiat|Gmina
T1667115|31-564|Kraków|al. Pokoju[Aleje Pokoju]|52A|14|MAŁOPOLSKIE|Kraków|Kraków
TU1667115|31-564|Kraków|al. Pokoju[Aleje Pokoju]|52A|14|MAŁOPOLSKIE|Kraków|Kraków
A1785889|31-548|Kraków|al. Pokoju[Aleje Pokoju]|5||MAŁOPOLSKIE|Kraków|Kraków
A1423023|99-400|Łowicz|al. Sienkiewicza[Aleje Sienkiewicza]|44||ŁÓDZKIE[]|łowicki[]|Łowicz[]
T1686313|31-159|Kraków|al. Słowackiego[Aleje Słowackiego]|13B|81|MAŁOPOLSKIE|Kraków|Kraków
A1377960|23-408|Aleksandrów|[Alekdandrów]|619||LUBELSKIE[]|biłgorajski[]|Aleksandrów[]
A1873046|23-408|Aleksandrów Drugi[Aleksandrów]|[Aleksandrów Drugi]|379||LUBELSKIE[]|biłgorajski[]|Aleksandrów[]
A1804550|43-608[43-600]|Jaworzno|ul. Anonima[Anonima Galla]|9||ŚLĄSKIE[]|Jaworzno[]|Jaworzno[]
A1711358|31-236|Kraków|ul. Felińskiego[Arcybiskupa Felińsk]|22|30|MAŁOPOLSKIE|Kraków|Kraków
A1442060|67-200|Głogów|ul. Armii Krajowej[Armii Krajowej 4/28]|4/28[4]|4/28[28]|DOLNOŚLĄSKIE[]|głogowski[]|Głogów[]
A1259890|41-500|Chorzów|ul. Astrów[Asrtronautów]|14|43|ŚLĄSKIE|Chorzów|Chorzów
A2359|32-086|Węgrzce|ul. B1[B-1]|2|1|MAŁOPOLSKIE|krakowski|Zielonki
A1271480|32-086|Węgrzce|ul. B3[B-3]|1||MAŁOPOLSKIE[]|krakowski[]|Zielonki[]
A1735688|37-600|Lubaczów[Lubaczow]|ul. Chrobrego[B. Crobrego]|18||PODKARPACKIE[]|lubaczowski[]|Lubaczów[]
A1602685|33-350|Piwniczna-Zdrój[PIWNICZNA ZDRÓJ]|ul. Chrobrego[B.Crobrego]|11||MAŁOPOLSKIE[]|nowosądecki[]|Piwniczna-Zdrój[]
A1370305|30-393|Kraków|ul. Babińskiego[Babińskiego 29]|29[38044]|38044[]|MAŁOPOLSKIE|Kraków|Kraków
A1331804|30-393|Kraków|ul. Babińskiego[Babińskiego 29]|29[45]|45/10[10]|MAŁOPOLSKIE|Kraków|Kraków
A1397691|32-300|Olkusz|ul. Baczyńskiego[Baczyńskiego/ O? Młodych]|1|35|MAŁOPOLSKIE[]|olkuski[]|Olkusz[]
A1601155|96-320|Badów Górny[MSZCZONÓW]|[Badów Górny 26]|26|26[]|MAZOWIECKIE[]|żyrardowski[]|Mszczonów[]
A1750605|22-150|Bakus-Wanda[WIERZBICA]|[Bakus - Wanda]|24||LUBELSKIE[]|chełmski[]|Wierzbica[]
A1438988|30-149[30-199]|Kraków[KRAKOW]|ul. Balicka[Balicka 8 Rzaska]|8||MAŁOPOLSKIE|Kraków|Kraków
A1685654|01-917|Warszawa|ul. Balzaka[Balzaka H.]|2|276|MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A1466272|34-424|Bańska Niżna|[Bańska Niżna, ul. Papieska]|91||MAŁOPOLSKIE[]|nowotarski[]|Szaflary[]
A1465303|34-130|Barwałd Górny|[Barwałd Górny-]|236||MAŁOPOLSKIE[]|wadowicki[]|Kalwaria Zebrzydowska[]
A1430288|75-305|Koszalin[KOSZLIN]|ul. Batalionów Chłopskich[Bat Chłopskich]|16||ZACHODNIOPOMORSKIE[]|Koszalin[]|Koszalin[]
A1712845|28-400|Pińczów|ul. Batalionów Chłopskich[Bat. Chłopskich]|10||ŚWIĘTOKRZYSKIE[]|pińczowski[]|Pińczów[]
A1241529|05-660|Warka|ul. Batalionów Chłopskich[Bat.Chłopskich]|2a||MAZOWIECKIE[]|grójecki[]|Warka[]
A1395082|44-292|Rybnik|ul. Batalionów Chłopskich[Bat.Chłopskich]|4||ŚLĄSKIE[]|Rybnik[]|Rybnik[]
A1363051|44-292|Rybnik|ul. Batalionów Chłopskich[Bat.Chłopskich]|4||ŚLĄSKIE[]|Rybnik[]|Rybnik[]
A1393722|33-300|Nowy Sącz|ul. Batalionów Chłopskich[Bat.Chłopskich]|16|5|MAŁOPOLSKIE|Nowy Sącz|Nowy Sącz
A1422750|28-400|Pińczów|ul. Batalionów Chłopskich[Bat.Chłopskich]|180||ŚWIĘTOKRZYSKIE|pińczowski[]|Pińczów[]
A1747457|33-100[33-101]|Tarnów|ul. Batalionów Chłopskich[Bat.Chłopskich]|30||MAŁOPOLSKIE[]|Tarnów[]|Tarnów[]
A1768088|75-305|Koszalin|ul. Batalionów Chłopskich[Bat.Chłopskich]|16||ZACHODNIOPOMORSKIE[]|Koszalin[]|Koszalin[]
A1832123|30-394|Kraków|ul. Batalionów Chłopskich[Bat.Chłopskich]|34f||MAŁOPOLSKIE|Kraków|Kraków
A1392664|37-500|Jarosław|ul. Batalionów Chłopskich[Batalionów Chłops]|41||PODKARPACKIE[]|jarosławski[]|Jarosław[]
A1677628|31-331[31-273]|Kraków|ul. Bliska[Batalionów Skała AK]|4|61|MAŁOPOLSKIE|Kraków|Kraków
